LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
GRC,EMP,TOT,PC_WKGPOP,Q,2019-Q1,55.29321
GRC,EMP,TOT,PC_WKGPOP,Q,2019-Q2,56.7919
GRC,EMP,TOT,PC_WKGPOP,Q,2019-Q3,56.12394
GRC,EMP,TOT,PC_WKGPOP,Q,2019-Q4,56.26608
GRC,EMP,TOT,PC_WKGPOP,Q,2020-Q1,54.85741
GRC,EMP,TOT,PC_WKGPOP,Q,2020-Q2,50.65874
GRC,EMP,TOT,PC_WKGPOP,Q,2020-Q3,55.44848
GRC,EMP,TOT,PC_WKGPOP,Q,2020-Q4,53.73751
GRC,EMP,TOT,PC_WKGPOP,Q,2021-Q1,53.68766
GRC,EMP,TOT,PC_WKGPOP,Q,2021-Q2,57.20959
GRC,EMP,TOT,PC_WKGPOP,Q,2021-Q3,58.82936
GRC,EMP,TOT,PC_WKGPOP,Q,2021-Q4,59.28067
GRC,EMP,TOT,PC_WKGPOP,Q,2022-Q1,60.18302
GRC,EMP,TOT,PC_WKGPOP,Q,2022-Q2,61.12905
GRC,EMP,TOT,PC_WKGPOP,Q,2022-Q3,60.66197
GRC,EMP,TOT,PC_WKGPOP,Q,2022-Q4,60.82385
MEX,EMP,TOT,PC_WKGPOP,Q,2019-Q1,62.12411
MEX,EMP,TOT,PC_WKGPOP,Q,2019-Q2,62.23736
MEX,EMP,TOT,PC_WKGPOP,Q,2019-Q3,62.32401
MEX,EMP,TOT,PC_WKGPOP,Q,2019-Q4,62.37265
MEX,EMP,TOT,PC_WKGPOP,Q,2020-Q1,62.60747
MEX,EMP,TOT,PC_WKGPOP,Q,2020-Q2,51.38796
MEX,EMP,TOT,PC_WKGPOP,Q,2020-Q3,56.85844
MEX,EMP,TOT,PC_WKGPOP,Q,2020-Q4,59.22617
MEX,EMP,TOT,PC_WKGPOP,Q,2021-Q1,59.6372
MEX,EMP,TOT,PC_WKGPOP,Q,2021-Q2,61.09575
MEX,EMP,TOT,PC_WKGPOP,Q,2021-Q3,61.49227
MEX,EMP,TOT,PC_WKGPOP,Q,2021-Q4,61.90842
MEX,EMP,TOT,PC_WKGPOP,Q,2022-Q1,61.90988
MEX,EMP,TOT,PC_WKGPOP,Q,2022-Q2,62.56898
MEX,EMP,TOT,PC_WKGPOP,Q,2022-Q3,62.52361
MEX,EMP,TOT,PC_WKGPOP,Q,2022-Q4,63.14268
TUR,EMP,TOT,PC_WKGPOP,Q,2019-Q1,50.55292
TUR,EMP,TOT,PC_WKGPOP,Q,2019-Q2,50.25485
TUR,EMP,TOT,PC_WKGPOP,Q,2019-Q3,50.05178
